[INFO] Shi-Tomasi + FREAK on CPU
	10
0.0525669	147	87
0.0538991	146	87
0.0501199	126	87
0.0514392	108	87
0.0539285	122	87
0.0517327	103	87
0.0606941	85	87
0.0533371	142	87
0.0523663	84	87
0.0522208	87	87
0.0505611	74	87
0.0510147	142	87
0.0504454	28	87
0.0515364	59	87
0.0576627	81	87
0.058858	92	87
0.0502363	67	87
0.051713	129	87
0.0504476	118	87
0.0495427	111	87
0.0516367	68	87
0.0520414	65	87
0.0502303	59	87
0.0513935	72	87
0.0507604	61
