[INFO] SURF on OpenCL
	26
0.0517779	44	38
0.0532664	46	38
0.0528952	50	38
0.0514023	47	38
0.0530851	48	38
0.0518887	47	38
0.0527195	42	38
0.0529616	42	38
0.0534087	43	38
0.0514522	48	38
0.0530644	49	38
0.0514139	47	38
0.0534778	41	38
0.0527201	40	38
0.052662	39	38
0.0527602	37	38
0.0524335	40	38
0.0525445	45	38
0.0529692	42	38
0.052337	42	38
0.051833	44	38
0.0534089	46	38
0.0532858	46	38
0.0515293	47
