[INFO] SURF on CPU
elapsed time: 0.0784332; featured found: 31; features tracked: 23
elapsed time: 0.0743448; featured found: 33; features tracked: 21
elapsed time: 0.073671; featured found: 34; features tracked: 19
elapsed time: 0.074566; featured found: 37; features tracked: 20
elapsed time: 0.0756729; featured found: 34; features tracked: 25
elapsed time: 0.0770576; featured found: 23; features tracked: 15
elapsed time: 0.0779008; featured found: 23; features tracked: 13
elapsed time: 0.0757089; featured found: 24; features tracked: 15
elapsed time: 0.0728429; featured found: 29; features tracked: 15
elapsed time: 0.0797723; featured found: 27; features tracked: 16
elapsed time: 0.0739336; featured found: 25; features tracked: 16
elapsed time: 0.0732564; featured found: 26; features tracked: 18
elapsed time: 0.0736813; featured found: 27; features tracked: 16
elapsed time: 0.0765601; featured found: 31; features tracked: 20
elapsed time: 0.0818413; featured found: 30; features tracked: 19
elapsed time: 0.0815147; featured found: 31; features tracked: 22
elapsed time: 0.0786737; featured found: 27; features tracked: 22
elapsed time: 0.079889; featured found: 34; features tracked: 16
elapsed time: 0.0743566; featured found: 31; features tracked: 18
elapsed time: 0.0755703; featured found: 35; features tracked: 23
elapsed time: 0.0753106; featured found: 35; features tracked: 22
elapsed time: 0.0796376; featured found: 34; features tracked: 22
elapsed time: 0.0770413; featured found: 35; features tracked: 19
elapsed time: 0.0838469; featured found: 36; features tracked: 24
elapsed time: 0.0781798; featured found: 36; features tracked: 24
elapsed time: 0.0754695; featured found: 34; features tracked: 26
elapsed time: 0.0764042; featured found: 35; features tracked: 21
elapsed time: 0.0773397; featured found: 36; features tracked: 25
elapsed time: 0.0785046; featured found: 33; features tracked: 22
elapsed time: 0.0770594; featured found: 39; features tracked: 25
elapsed time: 0.0821124; featured found: 35; features tracked: 26
elapsed time: 0.0811036; featured found: 36; features tracked: 20
elapsed time: 0.078434; featured found: 39; features tracked: 22
elapsed time: 0.0823985; featured found: 37; features tracked: 23
elapsed time: 0.0794222; featured found: 36; features tracked: 23
elapsed time: 0.0764361; featured found: 29; features tracked: 19
elapsed time: 0.0830244; featured found: 26; features tracked: 14
elapsed time: 0.0787383; featured found: 28; features tracked: 20
elapsed time: 0.0802431; featured found: 30; features tracked: 21
elapsed time: 0.074167; featured found: 30; features tracked: 25
elapsed time: 0.0790697; featured found: 30; features tracked: 21
elapsed time: 0.0822645; featured found: 28; features tracked: 22
elapsed time: 0.0805932; featured found: 30; features tracked: 20
elapsed time: 0.0741033; featured found: 33; features tracked: 20
elapsed time: 0.0756352; featured found: 30; features tracked: 22
elapsed time: 0.0748807; featured found: 35; features tracked: 22
elapsed time: 0.0786692; featured found: 31; features tracked: 23
elapsed time: 0.0748833; featured found: 34; features tracked: 20
elapsed time: 0.0833943; featured found: 34; features tracked: 25
elapsed time: 0.0766152; featured found: 34; features tracked: 24
elapsed time: 0.0772612; featured found: 33; features tracked: 20
elapsed time: 0.076298; featured found: 40; features tracked: 26
elapsed time: 0.0787104; featured found: 39; features tracked: 31
elapsed time: 0.0799026; featured found: 41; features tracked: 28
elapsed time: 0.0774057; featured found: 35; features tracked: 23
elapsed time: 0.0790563; featured found: 38; features tracked: 21
elapsed time: 0.0807736; featured found: 39; features tracked: 25
elapsed time: 0.0752244; featured found: 38; features tracked: 22
elapsed time: 0.0807934; featured found: 39; features tracked: 26
elapsed time: 0.0778807; featured found: 38; features tracked: 23
elapsed time: 0.0753396; featured found: 34; features tracked: 26
elapsed time: 0.0771986; featured found: 41; features tracked: 25
elapsed time: 0.0778585; featured found: 35; features tracked: 28
elapsed time: 0.0744076; featured found: 35; features tracked: 22
elapsed time: 0.081922; featured found: 32; features tracked: 20
elapsed time: 0.0803219; featured found: 30; features tracked: 21
elapsed time: 0.0846469; featured found: 30; features tracked: 20
elapsed time: 0.0801444; featured found: 32; features tracked: 22
elapsed time: 0.0794312; featured found: 32; features tracked: 22
elapsed time: 0.0777666; featured found: 33; features tracked: 16
elapsed time: 0.0798646; featured found: 33; features tracked: 21
elapsed time: 0.0855696; featured found: 32; features tracked: 24
elapsed time: 0.0783356; featured found: 38; features tracked: 22
elapsed time: 0.0753224; featured found: 37; features tracked: 22
elapsed time: 0.0756114; featured found: 35; features tracked: 23
elapsed time: 0.0733422; featured found: 38; features tracked: 23
elapsed time: 0.080084; featured found: 35; features tracked: 23
elapsed time: 0.0755332; featured found: 37; features tracked: 21
elapsed time: 0.0762803; featured found: 37; features tracked: 23
elapsed time: 0.0831981; featured found: 38; features tracked: 26
elapsed time: 0.0795741; featured found: 39; features tracked: 27
elapsed time: 0.0788648; featured found: 39; features tracked: 24
elapsed time: 0.0877991; featured found: 36; features tracked: 22
elapsed time: 0.0749076; featured found: 39; features tracked: 25
elapsed time: 0.0816517; featured found: 38; features tracked: 20
elapsed time: 0.0764569; featured found: 37; features tracked: 29
elapsed time: 0.0765107; featured found: 38; features tracked: 26
elapsed time: 0.0780467; featured found: 35; features tracked: 21
elapsed time: 0.089965; featured found: 36; features tracked: 25
elapsed time: 0.0766035; featured found: 33; features tracked: 23
elapsed time: 0.0796564; featured found: 36; features tracked: 19
elapsed time: 0.0771595; featured found: 35; features tracked: 23
elapsed time: 0.0724404; featured found: 38; features tracked: 25
elapsed time: 0.0757511; featured found: 34; features tracked: 21
elapsed time: 0.0741039; featured found: 37; features tracked: 20
elapsed time: 0.0785597; featured found: 31; features tracked: 17
elapsed time: 0.0773197; featured found: 31; features tracked: 24
elapsed time: 0.0781374; featured found: 30; features tracked: 19
elapsed time: 0.0754393; featured found: 32; features tracked: 23
elapsed time: 0.0741329; featured found: 30; features tracked: 21
elapsed time: 0.079526; featured found: 34; features tracked: 23
elapsed time: 0.0791759; featured found: 32; features tracked: 23
elapsed time: 0.0823906; featured found: 31; features tracked: 19
elapsed time: 0.0807011; featured found: 31; features tracked: 18
elapsed time: 0.0786407; featured found: 35; features tracked: 19
elapsed time: 0.0807682; featured found: 35; features tracked: 24
elapsed time: 0.0788096; featured found: 39; features tracked: 24
elapsed time: 0.0752699; featured found: 38; features tracked: 26
elapsed time: 0.0831995; featured found: 35; features tracked: 23
elapsed time: 0.0803784; featured found: 36; features tracked: 22
elapsed time: 0.0774066; featured found: 33; features tracked: 22
elapsed time: 0.083227; featured found: 33; features tracked: 19
elapsed time: 0.0755198; featured found: 35; features tracked: 17
elapsed time: 0.0841927; featured found: 33; features tracked: 23
elapsed time: 0.0785991; featured found: 34; features tracked: 21
elapsed time: 0.0770262; featured found: 35; features tracked: 23
elapsed time: 0.0822856; featured found: 39; features tracked: 24
elapsed time: 0.0779198; featured found: 34; features tracked: 23
elapsed time: 0.084934; featured found: 41; features tracked: 22
