[INFO] ORB on CPU
elapsed time: 0.0693442; featured found: 30; features tracked: 20
elapsed time: 0.0679454; featured found: 30; features tracked: 23
elapsed time: 0.0685789; featured found: 30; features tracked: 17
elapsed time: 0.0682283; featured found: 30; features tracked: 18
elapsed time: 0.0682335; featured found: 30; features tracked: 21
elapsed time: 0.0699382; featured found: 30; features tracked: 15
elapsed time: 0.0685162; featured found: 30; features tracked: 21
elapsed time: 0.0686508; featured found: 30; features tracked: 22
elapsed time: 0.068029; featured found: 30; features tracked: 20
elapsed time: 0.0680878; featured found: 30; features tracked: 23
elapsed time: 0.0691943; featured found: 30; features tracked: 19
elapsed time: 0.0683877; featured found: 30; features tracked: 22
elapsed time: 0.0683765; featured found: 30; features tracked: 22
elapsed time: 0.0694211; featured found: 30; features tracked: 24
elapsed time: 0.0690217; featured found: 30; features tracked: 22
elapsed time: 0.068767; featured found: 30; features tracked: 22
elapsed time: 0.0686778; featured found: 30; features tracked: 22
elapsed time: 0.0693219; featured found: 30; features tracked: 20
elapsed time: 0.0705775; featured found: 30; features tracked: 18
elapsed time: 0.0701145; featured found: 30; features tracked: 18
elapsed time: 0.0704105; featured found: 30; features tracked: 18
elapsed time: 0.0703413; featured found: 30; features tracked: 21
elapsed time: 0.0706075; featured found: 30; features tracked: 19
elapsed time: 0.0687596; featured found: 30; features tracked: 19
elapsed time: 0.0704604; featured found: 30; features tracked: 18
elapsed time: 0.0690917; featured found: 30; features tracked: 20
elapsed time: 0.070569; featured found: 30; features tracked: 22
elapsed time: 0.0696072; featured found: 30; features tracked: 20
elapsed time: 0.069952; featured found: 30; features tracked: 24
elapsed time: 0.0690061; featured found: 30; features tracked: 21
elapsed time: 0.0691557; featured found: 30; features tracked: 12
elapsed time: 0.069702; featured found: 30; features tracked: 17
elapsed time: 0.0692254; featured found: 30; features tracked: 15
elapsed time: 0.0698277; featured found: 30; features tracked: 21
elapsed time: 0.0710522; featured found: 30; features tracked: 17
elapsed time: 0.0706043; featured found: 30; features tracked: 20
elapsed time: 0.0690312; featured found: 30; features tracked: 18
elapsed time: 0.069873; featured found: 30; features tracked: 21
elapsed time: 0.0690554; featured found: 30; features tracked: 23
elapsed time: 0.0688851; featured found: 30; features tracked: 22
elapsed time: 0.0692792; featured found: 30; features tracked: 16
elapsed time: 0.0694739; featured found: 30; features tracked: 20
elapsed time: 0.069799; featured found: 30; features tracked: 20
elapsed time: 0.0696977; featured found: 30; features tracked: 22
elapsed time: 0.0704862; featured found: 30; features tracked: 23
elapsed time: 0.0698658; featured found: 30; features tracked: 17
elapsed time: 0.0701769; featured found: 30; features tracked: 21
elapsed time: 0.0700036; featured found: 30; features tracked: 17
elapsed time: 0.0713462; featured found: 30; features tracked: 22
elapsed time: 0.069726; featured found: 30; features tracked: 20
elapsed time: 0.0700464; featured found: 30; features tracked: 16
elapsed time: 0.0711119; featured found: 30; features tracked: 17
elapsed time: 0.0702515; featured found: 30; features tracked: 21
elapsed time: 0.0705851; featured found: 30; features tracked: 17
elapsed time: 0.0709476; featured found: 30; features tracked: 18
elapsed time: 0.0717182; featured found: 30; features tracked: 17
elapsed time: 0.0721966; featured found: 30; features tracked: 21
elapsed time: 0.0706067; featured found: 30; features tracked: 19
elapsed time: 0.071634; featured found: 30; features tracked: 17
elapsed time: 0.0710352; featured found: 30; features tracked: 20
elapsed time: 0.0708753; featured found: 30; features tracked: 23
elapsed time: 0.0719843; featured found: 30; features tracked: 20
elapsed time: 0.0721711; featured found: 30; features tracked: 15
elapsed time: 0.0709865; featured found: 30; features tracked: 22
elapsed time: 0.0716235; featured found: 30; features tracked: 15
elapsed time: 0.0715787; featured found: 30; features tracked: 16
elapsed time: 0.0727476; featured found: 30; features tracked: 17
elapsed time: 0.0705925; featured found: 30; features tracked: 16
elapsed time: 0.0725681; featured found: 30; features tracked: 17
elapsed time: 0.071212; featured found: 30; features tracked: 18
elapsed time: 0.070144; featured found: 30; features tracked: 21
elapsed time: 0.0704459; featured found: 30; features tracked: 17
elapsed time: 0.0711679; featured found: 30; features tracked: 20
elapsed time: 0.0714933; featured found: 30; features tracked: 19
elapsed time: 0.0722035; featured found: 30; features tracked: 20
elapsed time: 0.071736; featured found: 30; features tracked: 18
elapsed time: 0.0722767; featured found: 30; features tracked: 15
elapsed time: 0.0718767; featured found: 30; features tracked: 16
elapsed time: 0.0715179; featured found: 30; features tracked: 19
elapsed time: 0.0723996; featured found: 30; features tracked: 18
elapsed time: 0.0723632; featured found: 30; features tracked: 20
elapsed time: 0.071054; featured found: 30; features tracked: 19
elapsed time: 0.0714731; featured found: 30; features tracked: 15
elapsed time: 0.07198; featured found: 30; features tracked: 17
elapsed time: 0.0719967; featured found: 30; features tracked: 20
elapsed time: 0.0721426; featured found: 30; features tracked: 15
elapsed time: 0.071622; featured found: 30; features tracked: 18
elapsed time: 0.0794099; featured found: 30; features tracked: 21
elapsed time: 0.0735438; featured found: 30; features tracked: 17
elapsed time: 0.0760737; featured found: 30; features tracked: 15
elapsed time: 0.0761394; featured found: 30; features tracked: 18
elapsed time: 0.0755491; featured found: 30; features tracked: 18
elapsed time: 0.0752002; featured found: 30; features tracked: 19
elapsed time: 0.0795271; featured found: 30; features tracked: 18
elapsed time: 0.0751328; featured found: 30; features tracked: 19
elapsed time: 0.0752717; featured found: 30; features tracked: 18
elapsed time: 0.0741313; featured found: 30; features tracked: 21
elapsed time: 0.0750066; featured found: 30; features tracked: 17
elapsed time: 0.0744919; featured found: 30; features tracked: 16
elapsed time: 0.0764522; featured found: 30; features tracked: 16
elapsed time: 0.0820604; featured found: 30; features tracked: 19
elapsed time: 0.0805387; featured found: 30; features tracked: 18
elapsed time: 0.074903; featured found: 30; features tracked: 15
elapsed time: 0.0742532; featured found: 30; features tracked: 15
elapsed time: 0.0744804; featured found: 30; features tracked: 19
elapsed time: 0.0739033; featured found: 30; features tracked: 17
elapsed time: 0.0736545; featured found: 30; features tracked: 20
elapsed time: 0.0756889; featured found: 30; features tracked: 17
elapsed time: 0.0757802; featured found: 30; features tracked: 18
elapsed time: 0.0818325; featured found: 30; features tracked: 21
elapsed time: 0.0752119; featured found: 30; features tracked: 23
elapsed time: 0.0749486; featured found: 30; features tracked: 18
elapsed time: 0.0814457; featured found: 30; features tracked: 19
elapsed time: 0.0753994; featured found: 30; features tracked: 17
elapsed time: 0.0758523; featured found: 30; features tracked: 13
elapsed time: 0.0755029; featured found: 30; features tracked: 13
elapsed time: 0.0757528; featured found: 30; features tracked: 13
elapsed time: 0.0806774; featured found: 30; features tracked: 14
elapsed time: 0.0767315; featured found: 30; features tracked: 11
elapsed time: 0.0761177; featured found: 30; features tracked: 14
elapsed time: 0.0765201; featured found: 30; features tracked: 19
elapsed time: 0.0762435; featured found: 30; features tracked: 21
elapsed time: 0.0759658; featured found: 30; features tracked: 15
elapsed time: 0.0764542; featured found: 30; features tracked: 15
elapsed time: 0.0760788; featured found: 30; features tracked: 17
elapsed time: 0.0856482; featured found: 30; features tracked: 15
elapsed time: 0.0752181; featured found: 30; features tracked: 14
elapsed time: 0.0751668; featured found: 30; features tracked: 16
elapsed time: 0.0754034; featured found: 30; features tracked: 16
elapsed time: 0.0756682; featured found: 30; features tracked: 18
elapsed time: 0.0755799; featured found: 30; features tracked: 17
elapsed time: 0.0756661; featured found: 30; features tracked: 22
elapsed time: 0.0759075; featured found: 30; features tracked: 17
elapsed time: 0.0804272; featured found: 30; features tracked: 21
elapsed time: 0.0750482; featured found: 30; features tracked: 19
elapsed time: 0.0748203; featured found: 30; features tracked: 17
elapsed time: 0.0757773; featured found: 30; features tracked: 14
elapsed time: 0.0843108; featured found: 30; features tracked: 21
elapsed time: 0.0764905; featured found: 30; features tracked: 19
elapsed time: 0.0762191; featured found: 30; features tracked: 17
elapsed time: 0.0757474; featured found: 30; features tracked: 15
elapsed time: 0.0810861; featured found: 30; features tracked: 17
elapsed time: 0.0760652; featured found: 30; features tracked: 14
