[INFO] BRISK on CPU
elapsed time: 0.0146027; featured found: 93; features tracked: 41
elapsed time: 0.0147485; featured found: 100; features tracked: 38
elapsed time: 0.0138886; featured found: 109; features tracked: 44
elapsed time: 0.0149044; featured found: 96; features tracked: 43
elapsed time: 0.0140094; featured found: 82; features tracked: 33
elapsed time: 0.0138008; featured found: 95; features tracked: 33
elapsed time: 0.0140822; featured found: 94; features tracked: 36
elapsed time: 0.014383; featured found: 84; features tracked: 30
elapsed time: 0.0138993; featured found: 94; features tracked: 34
elapsed time: 0.0161164; featured found: 91; features tracked: 42
elapsed time: 0.014145; featured found: 93; features tracked: 37
elapsed time: 0.0145442; featured found: 92; features tracked: 38
elapsed time: 0.0144425; featured found: 98; features tracked: 31
elapsed time: 0.0141834; featured found: 88; features tracked: 43
elapsed time: 0.0142182; featured found: 91; features tracked: 34
elapsed time: 0.0146248; featured found: 100; features tracked: 43
elapsed time: 0.0161564; featured found: 99; features tracked: 42
elapsed time: 0.0143839; featured found: 97; features tracked: 40
elapsed time: 0.0146517; featured found: 105; features tracked: 30
elapsed time: 0.0141304; featured found: 102; features tracked: 39
elapsed time: 0.0141121; featured found: 85; features tracked: 32
elapsed time: 0.0143567; featured found: 96; features tracked: 30
elapsed time: 0.0145396; featured found: 116; features tracked: 40
elapsed time: 0.0136133; featured found: 89; features tracked: 43
elapsed time: 0.0136652; featured found: 93; features tracked: 39
elapsed time: 0.0134933; featured found: 103; features tracked: 38
elapsed time: 0.0132611; featured found: 86; features tracked: 39
elapsed time: 0.0133412; featured found: 97; features tracked: 36
elapsed time: 0.0139709; featured found: 106; features tracked: 42
elapsed time: 0.0133602; featured found: 95; features tracked: 42
elapsed time: 0.0143916; featured found: 110; features tracked: 34
elapsed time: 0.014213; featured found: 108; features tracked: 51
elapsed time: 0.0134572; featured found: 103; features tracked: 43
elapsed time: 0.0139083; featured found: 102; features tracked: 40
elapsed time: 0.0133083; featured found: 99; features tracked: 46
elapsed time: 0.0138703; featured found: 115; features tracked: 44
elapsed time: 0.0141306; featured found: 103; features tracked: 44
elapsed time: 0.0130684; featured found: 78; features tracked: 38
elapsed time: 0.0136747; featured found: 95; features tracked: 34
elapsed time: 0.0133252; featured found: 87; features tracked: 33
elapsed time: 0.0134367; featured found: 96; features tracked: 31
elapsed time: 0.014505; featured found: 93; features tracked: 41
elapsed time: 0.0137412; featured found: 100; features tracked: 45
elapsed time: 0.0133268; featured found: 88; features tracked: 45
elapsed time: 0.0132657; featured found: 84; features tracked: 38
elapsed time: 0.0138822; featured found: 94; features tracked: 40
elapsed time: 0.0144824; featured found: 88; features tracked: 40
elapsed time: 0.0132281; featured found: 89; features tracked: 36
elapsed time: 0.0139467; featured found: 109; features tracked: 35
elapsed time: 0.0137065; featured found: 110; features tracked: 41
elapsed time: 0.0137783; featured found: 107; features tracked: 35
elapsed time: 0.0140728; featured found: 108; features tracked: 41
elapsed time: 0.0139313; featured found: 105; features tracked: 48
elapsed time: 0.0134676; featured found: 89; features tracked: 40
elapsed time: 0.0136539; featured found: 104; features tracked: 40
elapsed time: 0.0141181; featured found: 103; features tracked: 39
elapsed time: 0.0134579; featured found: 107; features tracked: 42
elapsed time: 0.0138871; featured found: 97; features tracked: 41
elapsed time: 0.0140935; featured found: 86; features tracked: 40
elapsed time: 0.0145004; featured found: 110; features tracked: 41
elapsed time: 0.0141756; featured found: 110; features tracked: 37
elapsed time: 0.0137195; featured found: 95; features tracked: 38
elapsed time: 0.0140594; featured found: 106; features tracked: 42
elapsed time: 0.0136136; featured found: 104; features tracked: 42
elapsed time: 0.0146571; featured found: 92; features tracked: 32
elapsed time: 0.0148629; featured found: 108; features tracked: 28
elapsed time: 0.0142763; featured found: 104; features tracked: 35
elapsed time: 0.0153306; featured found: 105; features tracked: 47
elapsed time: 0.0144385; featured found: 102; features tracked: 43
elapsed time: 0.0135162; featured found: 90; features tracked: 34
elapsed time: 0.0136542; featured found: 101; features tracked: 23
elapsed time: 0.0192511; featured found: 88; features tracked: 34
elapsed time: 0.0137535; featured found: 107; features tracked: 36
elapsed time: 0.0134633; featured found: 94; features tracked: 30
elapsed time: 0.013819; featured found: 97; features tracked: 36
elapsed time: 0.0146598; featured found: 96; features tracked: 33
elapsed time: 0.0147894; featured found: 103; features tracked: 33
elapsed time: 0.0148043; featured found: 129; features tracked: 37
elapsed time: 0.0142707; featured found: 102; features tracked: 48
elapsed time: 0.0195878; featured found: 103; features tracked: 46
elapsed time: 0.014022; featured found: 125; features tracked: 45
elapsed time: 0.0145914; featured found: 102; features tracked: 53
elapsed time: 0.0137187; featured found: 100; features tracked: 35
elapsed time: 0.0139638; featured found: 111; features tracked: 44
elapsed time: 0.0141634; featured found: 114; features tracked: 42
elapsed time: 0.0137706; featured found: 97; features tracked: 34
elapsed time: 0.0148216; featured found: 108; features tracked: 34
elapsed time: 0.0198701; featured found: 112; features tracked: 43
elapsed time: 0.0140537; featured found: 121; features tracked: 44
elapsed time: 0.0138603; featured found: 132; features tracked: 38
elapsed time: 0.0155784; featured found: 119; features tracked: 48
elapsed time: 0.0142736; featured found: 113; features tracked: 45
elapsed time: 0.014808; featured found: 129; features tracked: 43
elapsed time: 0.0143292; featured found: 120; features tracked: 47
elapsed time: 0.0148372; featured found: 119; features tracked: 43
elapsed time: 0.0189483; featured found: 129; features tracked: 51
elapsed time: 0.0140716; featured found: 128; features tracked: 37
elapsed time: 0.0144208; featured found: 102; features tracked: 51
elapsed time: 0.0143989; featured found: 98; features tracked: 34
elapsed time: 0.014918; featured found: 104; features tracked: 34
elapsed time: 0.0144895; featured found: 87; features tracked: 39
elapsed time: 0.014525; featured found: 104; features tracked: 40
