[INFO] BRISK on CPU
elapsed time: 0.091943; featured found: 729; features tracked: 466
elapsed time: 0.0881516; featured found: 855; features tracked: 482
elapsed time: 0.0902241; featured found: 829; features tracked: 517
elapsed time: 0.0928857; featured found: 575; features tracked: 370
elapsed time: 0.0893648; featured found: 486; features tracked: 345
elapsed time: 0.0836769; featured found: 476; features tracked: 285
elapsed time: 0.0868336; featured found: 532; features tracked: 252
elapsed time: 0.087352; featured found: 532; features tracked: 339
elapsed time: 0.0851547; featured found: 548; features tracked: 343
elapsed time: 0.0883909; featured found: 565; features tracked: 344
elapsed time: 0.0816571; featured found: 456; features tracked: 290
elapsed time: 0.0788217; featured found: 339; features tracked: 211
elapsed time: 0.0813131; featured found: 325; features tracked: 193
elapsed time: 0.0850726; featured found: 292; features tracked: 172
